Acronym,SAT ID,Launch,(expected) EOL,"Satellite Programme",Orbit,Altitude,Longitude,Inclination,Ect,Sat Status,"Payload",Last update,Date
SPOT-5,416,37380,42090,"Satellite Pour l’Observation de la Terre",SunSync,832 km, , ,10:30 desc,Inactive,"DORIS, HRG, HRS, Végétation",2015-07-29 12:15:16,2015-07-29
SPOT-6,417,41161,44895,"Satellite Pour l’Observation de la Terre - Follow-on",SunSync,695 km, , ,10:30 desc,Operational,"NAOMI (SPOT)",2022-10-24 13:20:49,2022-10-24
SPOT-7,418,41820,45260,"Satellite Pour l’Observation de la Terre - Follow-on",SunSync,695 km, , ,10:30 desc,Operational,"NAOMI (SPOT)",2017-08-03 1:18:51,2017-08-03
STARLETTE,419,27431,54757,"Satellite de Taille Adaptée avec Réflecteurs Laser pour les Etudes de la Terre",DRIFT,812 km, ,49.8°,,Operational,"LR",2015-07-29 12:26:50,2015-07-29
STELLA,420,34242,54757,"Satellite de Taille Adaptée avec Réflecteurs Laser pour les Etudes de la Terre",DRIFT,800 km, ,98.6°,,Operational,"LR",2015-07-29 12:27:30,2015-07-29
SumbandilaSat,421,40073,40739,"SumbandilaSat",SunSync,504 km, , ,09:00 desc,Inactive,"MSI (Sansa)",2015-07-29 12:35:04,2015-07-29
SWARM-C,422,41600,45626,"The Earth’s Magnetic Field and Environment Explorers",DRIFT,460 km, ,87.35°,,Operational,"ACC, ASM, EFI (SWARM), GPS (ESA), LRR (DLR), STR (SWARM), VFM",2023-03-22 17:29:55,2023-03-22
SWARM-B,423,41600,45626,"The Earth’s Magnetic Field and Environment Explorers",DRIFT,530 km, ,87.75°,,Operational,"ACC, ASM, EFI (SWARM), GPS (ESA), LRR (DLR), STR (SWARM), VFM",2023-03-22 17:29:40,2023-03-22
SWOT,424,44911,45991,"Surface Water and Ocean Topography",DRIFT,891 km, ,78°,,Operational,"DORIS, GPS (NASA), KaRIN, LRA (NASA), MW radiometer, Poseidon-3C",2023-07-10 10:19:31,2023-07-10
TacSat-2,425,39063,39437,"Tactical Satellite",DRIFT,418 km, ,40°,,Inactive,"IGOR (TacSat-2)",2015-07-29 12:37:42,2015-07-29
TanDEM-X,426,40350,45991,"TerraSAR",SunSync,515 km, , ,06:00 desc,Operational,"SAR-X, TOR",2021-01-16 19:56:47,2021-01-16
TerraSAR-X,427,39248,45260,"TerraSAR",SunSync,515 km, , ,06:00 desc,Operational,"SAR-X, TOR",2021-01-16 18:09:37,2021-01-16
Tandem-L,428,46721,51104,"TerraSAR",SunSync,745 km, , ,06:00 desc,Considered,"L-SAR",2023-08-31 9:07:26,2023-08-31
THEOS-1,429,39722,45626,"Thailand Earth Observation System",SunSync,822 km, , ,10:00 desc,Operational,"MS (THEOS), PAN (THEOS)",2023-07-17 7:59:00,2023-07-17
TIMED,430,37232,44895,"Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics mission",DRIFT,625 km, ,74°,,Operational,"GUVI, SABER, SEE, TIDI",2023-06-05 9:07:31,2023-06-05
TIROS-1,431,22007,22084,"Television and Infra-Red Observation Satellite",DRIFT,720 km, ,48.4°,,Inactive,"VCS-NA, VCS-WA",2015-07-29 12:57:14,2015-07-29
TIROS-2,432,22243,22639,"Television and Infra-Red Observation Satellite",DRIFT,670 km, ,48.6°,,Inactive,"FPR, MRIR, VCS-NA, VCS-WA",2015-07-29 12:59:35,2015-07-29
TIROS-3,433,22474,22704,"Television and Infra-Red Observation Satellite",DRIFT,780 km, ,47.9°,,Inactive,"FPR, MRIR, VCS-WA",2015-07-29 13:00:26,2015-07-29
TIROS-4,434,22679,22846,"Television and Infra-Red Observation Satellite",DRIFT,770 km, ,48.3°,,Inactive,"FPR, MRIR, VCS-MA, VCS-WA",2015-07-29 13:01:08,2015-07-29
TIROS-5,435,22816,23342,"Television and Infra-Red Observation Satellite",DRIFT,750 km, ,58.1°,,Inactive,"VCS-MA, VCS-WA",2015-07-29 13:01:58,2015-07-29
TIROS-6,436,22907,23296,"Television and Infra-Red Observation Satellite",DRIFT,700 km, ,58.3°,,Inactive,"VCS-MA, VCS-WA",2015-07-29 13:05:44,2015-07-29
TIROS-7,437,23181,24992,"Television and Infra-Red Observation Satellite",DRIFT,680 km, ,58.2°,,Inactive,"FPR, LP, MRIR, VCS-WA",2015-07-29 13:06:43,2015-07-29
TIROS-8,438,23366,24654,"Television and Infra-Red Observation Satellite",DRIFT,730 km, ,58.5°,,Inactive,"APT, VCS-WA",2015-07-29 13:07:30,2015-07-29
TIROS-9,439,23764,25001,"Television and Infra-Red Observation Satellite",SunSync,1350 km, , ,09:30 desc,Inactive,"VCS-WA",2015-07-29 13:08:10,2015-07-29
TIROS-10,440,23925,24654,"Television and Infra-Red Observation Satellite",SunSync,790 km, , ,09:30 desc,Inactive,"VCS-WA",2015-07-29 12:58:19,2015-07-29
TIROS-N,441,28776,29644,"National Oceanic and Atmospheric Administration - 4th generation",SunSync,850 km, , ,14:30 asc,Inactive,"AVHRR, Argos, HIRS/2, MSU, SEM/MEPED, SEM/TED, SSU",2015-07-29 13:09:18,2015-07-29
TOMS Earth Probe,442,35248,39053,"Total Ozone Mapping Spectrometer - Earth Probe",SunSync,750 km, , ,12:00 desc,Inactive,"TOMS",2015-07-29 13:10:04,2015-07-29
TOPEX-Poseidon,443,33826,38634,"Topography Experiment + Poseidon",DRIFT,1336 km, ,66°,,Inactive,"DORIS, GPSDR, LRA (NASA), NRA, SSALT, TMR",2015-07-29 13:11:03,2015-07-29
TopSat,444,38652,39677,"TopSat",SunSync,686 km, , ,10:30 asc,Inactive,"RALCam-1",2015-07-29 13:11:41,2015-07-29
TRMM,445,35761,42102,"Tropical Rainfall Measuring Mission",DRIFT,402 km, ,35°,,Inactive,"CERES, LIS, PR, TMI , VIRS",2019-10-30 18:23:55,2019-10-30
UARS,446,33493,38700,"Upper Atmosphere Research Satellite",DRIFT,570 km, ,57°,,Inactive,"ACRIM-II, CLAES, HALOE, HRDI, ISAMS, MLS , PEM/AXIS, PEM/EPS , PEM/VMAG, SOLSTICE, SUSIM, WINDII",2015-07-29 13:23:29,2015-07-29
UK-DMC-1,447,37891,40862,"UK contribution to the Disaster Monitoring Constellation",SunSync,686 km, , ,10:30 asc,Inactive,"SLIM6",2015-07-29 13:24:50,2015-07-29
UK-DMC-2,448,40023,43434,"UK contribution to the Disaster Monitoring Constellation",SunSync,686 km, , ,10:30 asc,Presumably inactive,"SLIM6",2020-01-01 3:16:51,2020-01-01
VENµS,449,42949,44895,"Vegetation and Environment monitoring on a New Micro-Satellite",SunSync,720 km, , ,10:30 desc,Operational,"VSSC",2022-10-24 13:31:27,2022-10-24
COSMIC-2,450,43641,45991,"Constellation Observing System for Meteorology, Ionosphere & Climate",DRIFT,520 km, ,24°,,Operational,"RFB, TGRS (COSMIC-2), VIDI",2023-06-05 10:34:26,2023-06-05
TRITON,451,45208,47087,"Constellation Observing System for Meteorology, Ionosphere & Climate",SunSync,600 km, , ,,Commissioning,"GPSR",2023-10-11 17:40:10,2023-10-11
Resurs-P1,452,41450,44469,"Resurs-P",SunSync,473 km, , ,10:30 desc,Inactive,"GSA, Geoton-L1, ShMSA-SR, ShMSA-VR",2022-08-23 10:07:44,2022-08-23
X-Sat,453,40653,43434,"X-Sat",SunSync,820 km, , ,10:20 desc,Presumably inactive,"IRIS (X-Sat)",2020-01-01 3:17:28,2020-01-01
ACE,454,35667,45991,"Advanced Composition Explorer",L1,1.5e+06 km, , ,,Operational,"CRIS (ACE), EPAM, MAG (ACE), SEPICA , SIS, SWEPAM, SWICS, SWIMS, ULEIS",2023-06-05 10:20:49,2023-06-05
Solar-B (Hinode),455,38983,45260,"Solar",SunSync,680 km, , ,06:00 asc,Operational,"EIS, SOT, XRT",2023-04-27 10:51:16,2023-04-27
MMS-A,456,42076,44895,"Magnetospheric MultiScale mission",MAG,, ,28°,,Operational,"AFG, ASPOC (MMS), DFG, DP, EDI (MMS), EIS (MSS), FEEPS, FPI, HPCA, SCM (MMS)",2022-10-24 13:38:58,2022-10-24
SDO,457,40220,44895,"Solar Dynamics Observatory",GeoSync,35756 km,105 ° W,29.6°,,Operational,"AIA, EVE, HMI",2023-04-03 8:30:27,2023-04-03
SOHO,458,35035,45626,"Solar and Heliospheric Observatory",L1,1.5e+06 km, , ,,Operational,"CDS, CELIAS, COSTEP, EIT, ERNE, GOLF, LASCO, MDI, SEM (SOHO), SUMER, SWAN, UVCS, VIRGO",2023-04-03 8:39:55,2023-04-03
STEREO-B,459,39016,41913,"Solar-TErrestrial RElations Observatory",Ecliptic,, ,23.44°,,Inactive,"IMPACT/MAG, IMPACT/SEP, IMPACT/STE, IMPACT/SWEA, PLASTIC, S/WAVES, SECCHI/COR-1, SECCHI/COR-2, SECCHI/EUVI, SECCHI/HI-1, SECCHI/HI-2",2020-02-27 23:55:07,2020-02-27
THEMIS-D,460,39130,44895,"Time History of Events and Macroscale Interactions during Substorms",MAG,, ,6°,,Operational,"EFI (THEMIS), ESA, FGM (THEMIS), SCM, SST",2022-10-24 13:50:07,2022-10-24
TRACE,461,35887,40350,"Transition Region and Coronal Explorer",SunSync,627 km, , ,06:00 asc,Inactive,"TRACE",2015-07-29 13:13:04,2015-07-29
Amazônia-1B,464,44895,45991,"Amazônia",SunSync,752 km, , ,10:30 desc,Planned,"AWFI",2022-12-10 21:41:48,2022-12-10
Arctica-M N1,465,44255,47817,"Arctica in Molniya orbit",Molniya,, ,63.4°,,Operational,"DCS/A, GGAK-E/FM-E, GGAK-E/GALS-E (Arctica), GGAK-E/SKIF-6 (Arctica), MSU-GS/A",2023-07-10 7:38:17,2023-07-10
Arctica-M N2,466,44895,48548,"Arctica in Molniya orbit",Molniya,, ,63.4°,,Planned,"DCS/A, GGAK-E/FM-E, GGAK-E/GALS-E (Arctica), GGAK-E/SKIF-6 (Arctica), MSU-GS/A",2021-11-16 15:27:18,2021-11-16
ASNARO-1,467,41949,44895,"Advanced Satellite with new system ARchitecture for Observation",SunSync,504 km, , ,11:00 desc,Operational,"OPS (ASNARO)",2022-10-24 13:57:19,2022-10-24
ASNARO-2,468,43117,44895,"Advanced Satellite with new system ARchitecture for Observation",SunSync,500 km, , ,06:00 desc,Operational,"XSAR",2019-10-27 13:23:32,2019-10-27
Aditya-1,469,45171,46721,"Aditya",L1,1500000 km, , ,,Commissioning,"ASPEX, HEL1OS, Magnetometer (Aditya), PAPA, SUIT, SoLEXS, VELC",2023-09-04 8:05:15,2023-09-04
CASSIOPE,470,41546,44547,"CASSIOPE",MAG,670 km, ,80.97°,,Inactive,"CER, FAI, GAP, IRM, MGF (CASSIOPE), NMS, RRI, SEI",2022-01-26 14:52:58,2022-01-26
CLUSTER-A,471,36723,45626,"Cluster",MAG,, ,90°,,Operational,"ASPOC, CIS, EDI, EFW (CLUSTER), FGM, PEACE, RAPID, STAFF, WBD, WHISPER",2021-01-27 14:37:43,2021-01-27
CLUSTER-C,472,36747,45991,"Cluster",MAG,, ,90°,,Operational,"ASPOC, CIS, EDI, EFW (CLUSTER), FGM, PEACE, RAPID, STAFF, WBD, WHISPER",2021-01-27 14:39:23,2021-01-27
Coronas-Photon,473,39843,40148,"Complex Orbital Observations Near-Earth of Activity of the Sun",DRIFT,550 km, ,82.5°,,Inactive,"BRM, Electron-M-PESCA, Konus-RF, Natalya-2M-particles, Natalya-2M-rad, PHOKA, Penguin-M, RT-2, SM-8M, STEP-F, TESIS",2015-07-27 20:01:48,2015-07-27
Electro-L N3,474,43823,47087,"Electro",GEO,35786 km,76 ° E, ,,Operational,"DCS (Electro), GEOS&R (Electro), GGAK-E/DIR-E, GGAK-E/GALS-E, GGAK-E/SKIF-6, GGAK-E/SKL-E, GGAK-E/VUSS-E, MSU-GS",2021-03-20 13:46:00,2021-03-20
GEOTAIL,475,33787,44740,"GEOTAIL",MAG,, ,29°,,Inactive,"CPI, EFD, EPIC, HEP, LEP, MGF, PWI",2023-07-10 10:35:15,2023-07-10
ISS SAGE-III,478,42785,45991,"International Space Station",DRIFT,407 km, ,51.6°,,Operational,"SAGE-III",2021-06-14 14:30:40,2021-06-14
Sentinel-6A,479,44156,46356,"Sentinel-6",DRIFT,1336 km, ,66°,,Operational,"AMR-C, DORIS, GNSS-RO (Sentinel-6), GPS (ESA), HRMR, LRA (NASA), NGRM, Poseidon-4",2022-09-26 15:12:41,2022-09-26
Sentinel-6B,480,45626,48182,"Sentinel-6",DRIFT,1336 km, ,66°,,Planned,"AMR-C, DORIS, GNSS-RO (Sentinel-6), GPS (ESA), HRMR, LRA (NASA), NGRM, Poseidon-4",2022-08-30 15:54:00,2022-08-30
KOMPSAT-3A,481,42089,44895,"Korea Multi-Purpose Satellite",SunSync,528 km, , ,13:30 asc,Operational,"AEISS, IIP",2022-10-24 9:57:07,2022-10-24
Meteor-M N2-1,482,43067,43067,"Meteor-3M",SunSync,816.4 km, , ,15:09 asc,Inactive,"GGAK-E/GALS-E (Meteor), GGAK-E/SKIF-6 (Meteor), GGAK-M/RIMS-M, IKFS-2, IKOR-M, KMSS, MSU-MR, MTVZA-GY, S&RSAT, SSPD, Severjanin-M",2021-04-19 13:45:34,2021-04-19
Meteor-M N2-2,483,43651,45260,"Meteor-3M",SunSync,821 km, , ,15:00 asc,Operational,"GGAK-E/GALS-E (Meteor), GGAK-E/SKIF-6 (Meteor), GGAK-M/RIMS-M, IKFS-2, IKOR-M, KMSS, MSU-MR, MTVZA-GY, SSPD, Severjanin-M",2022-01-25 12:17:35,2022-01-25
PCW-1,484,TBD,TBD,"Polar Communications and Weather",Molniya,, ,63.4°,,Mission concept,"ISR, SWS",2018-12-06 3:28:44,2018-12-06
PCW-2,485,TBD,TBD,"Polar Communications and Weather",Molniya,, ,63.4°,,Mission concept,"ISR, SWS",2018-12-06 3:37:07,2018-12-06
Picard,486,40344,41733,"Picard",SunSync,725 km, , ,06:00 asc,Inactive,"PREMOS, SODISM, SOVAP",2017-01-05 1:09:31,2017-01-05
Polar,487,35119,39553,"Polar",MAG,, ,86°,,Inactive,"CAMMICE, CEPPAD, EFI (Polar), HYDRA, MFE, PIXIE, PWI (Polar), TIDE/PSI, TIMAS, UVI, VIS",2015-07-28 21:48:30,2015-07-28
WIND,488,34639,44895,"Wind",L1,1.5e+06 km, , ,,Operational,"EPACT, KONUS, MFI, PLASMA, SMS, SWE, TGRS, WAVES",2022-10-24 14:06:02,2022-10-24
ZY-3-01,489,40917,44530,"Zi Yuan - 3",SunSync,506 km, , ,10:30 desc,Unclear,"MSC (ZY), TAC",2023-05-30 8:28:03,2023-05-30
PROBA-2,490,40119,44895,"Project for On-Board Autonomy",SunSync,730 km, , ,06:00 asc,Operational,"DSLP, LYRA, SWAP, TPMU",2022-10-24 13:08:25,2022-10-24
VAP (2 sat),491,41151,43756,"Van Allen Probes",MAG,, ,18°,,Inactive,"ECT/HOPE, ECT/MagEIS, ECT/REPT, EFW (VAP), EMFISIS, RBSPICE, RPS",2019-10-25 11:34:46,2019-10-25
ZY-1-2C,492,40899,43434,"Zi Yuan 1-2",SunSync,781 km, , ,10:30 desc,Presumably inactive,"HRCC-2, HRPC-2",2020-01-01 3:18:12,2020-01-01
SSOT,493,40894,44530,"Sistema Satellital para Observation de la Tierra",SunSync,630 km, , ,10:30 desc,Unclear,"NAOMI (SSOT)",2022-01-03 12:49:39,2022-01-03
GeoEye-1,494,39697,44895,"GeoEye",SunSync,681 km, , ,10:30 desc,Operational,"GIS",2022-10-24 14:08:41,2022-10-24
QuickBird,497,37182,42031,"WorldView",SunSync,482 km, , ,10:30 desc,Inactive,"BGIS-2000",2015-07-28 21:52:49,2015-07-28
WorldView-1,498,39343,44895,"WorldView",SunSync,499 km, , ,13:30 desc,Operational,"WV60",2022-10-24 14:34:02,2022-10-24
WorldView-2,499,40087,44895,"WorldView",SunSync,770 km, , ,10:30 desc,Operational,"WV110",2022-10-24 14:34:17,2022-10-24
WorldView-3,500,41864,44895,"WorldView",SunSync,770 km, , ,10:30 desc,Operational,"WV110",2022-10-24 14:34:36,2022-10-24
OrbView-3,501,37798,39195,"GeoEye",SunSync,470 km, , ,10:30 desc,Inactive,"OHRIS",2015-07-28 21:00:20,2015-07-28
Ikonos,502,36427,42094,"GeoEye",SunSync,686 km, , ,10:30 desc,Inactive,"OSA",2017-08-03 10:33:23,2017-08-03
ACE (Aer.Clo.Eco.),506,TBD,TBD,"Aerosol-Cloud Ecosystems",SunSync,, , ,,Mission concept,"ACE Lidar, CPR (CloudSat), OCI, Polarimeters",2016-06-30 1:57:09,2016-06-30
BIOMASS,508,45260,47087,"BIOMASS",SunSync,660 km, , ,06:00 desc,Planned,"SAR-P",2023-02-02 16:41:08,2023-02-02
CarbonSat,509,TBD,TBD,"",SunSync,, , ,,Mission concept,"",2013-02-20 15:33:41,2013-02-20
FLEX,511,45260,46356,"FLuorescence EXplorer",SunSync,800 km, , ,10:00 desc,Planned,"FLORIS",2020-08-21 13:32:45,2020-08-21
GACM,512,TBD,TBD,"Global Atmospheric Composition Mission",SunSync,, , ,,Mission concept,"O3 lidar",2018-06-20 23:25:00,2018-06-20
GEO-CAPE,513,TBD,TBD,"Geostationary Coastal and Air Pollution Events",GEO,35786 km,100 ° W, ,,Mission concept,"",2016-06-30 1:55:42,2016-06-30
HyspIRI,514,TBD,TBD,"Hyperspectral Infra-Red Imager",SunSync,TBD km, , ,,Mission concept,"",2016-06-30 1:54:05,2016-06-30
LIST,515,TBD,TBD,"Lidar Surface Topography",SunSync,, , ,,Mission concept,"",2018-06-20 23:23:11,2018-06-20
PATH,516,TBD,TBD,"Precipitation and All-weather Temperature and Humidity",GEO,35786 km, , ,,Mission concept,"GeoSTAR",2018-06-20 23:22:21,2018-06-20
SCLP,518,TBD,TBD,"Snow and Cold Land Processes",SunSync,TBD km, , ,TBD,Mission concept,"SAR-X/Ku",2018-06-20 23:21:14,2018-06-20
XOVWM,519,TBD,TBD,"Extended Ocean Vector Winds Mission",SunSync,TBD km, , ,TBD,Mission concept,"",2018-06-21 1:46:30,2018-06-21
FY-3G,520,45032,47087,"Feng-Yun - 3",DRIFT,407 km, ,50°,,Commissioning,"GNOS-2, HAOC, MERSI-RM, MWRI-RM, PMAI, PMR (FY-3)",2023-08-11 20:23:08,2023-08-11
FY-3I,521,45991,48182,"Feng-Yun - 3",DRIFT,407 km, ,50°,,Planned,"GNOS-2, HAOC, MERSI-RM, MWRI-RM, PMR (FY-3), SWS/SEM/NADD",2023-08-11 20:34:36,2023-08-11
Ionosphera-M N1 & N2,522,44895,45991,"Ionozond",SunSync,820 km, , ,TBD,Planned,"ESEP, GALS/1, LAERTES, MAYAK, NBK/2, Ozonometer-TM, PES, SPER/1, ST/1",2022-08-23 10:12:08,2022-08-23
Ionosphera-M N3 & N4,523,44895,45991,"Ionozond",SunSync,820 km, , ,TBD,Planned,"ESEP, GALS/1, LAERTES, MAYAK, NBK/2, Ozonometer-TM, PES, SPER/1, ST/1",2021-11-26 19:09:20,2021-11-26
Zond-M,524,45626,46721,"Ionozond",SunSync,600 km, , ,TBD,Planned,"FM-G, LETITsIYA-Camera, NBK/2, Ozonometer-3, RESPEKT, RIMS-A, SOLIST, SRF, ST/2, STEK, SUF",2021-11-26 19:07:50,2021-11-26
DSCOVR,525,42046,44895,"Deep Space Climate Observatory",L1,1.5e+06 km,N/A,N/A,N/A,Operational,"EPIC (DSCOVR), ES, FC, MAG (DSCOVR), NISTAR",2023-04-03 8:45:22,2023-04-03
EOS 03,526,44419,44419,"Geostationary High Resolution Imager",GEO,35786 km,85.5 ° E, ,,Lost at launch,"HyS-SWIR, HyS-VNIR, MX-LWIR, MX-VNIR",2021-08-13 18:58:57,2021-08-13
TH-1A,527,40414,43069,"Tian Hui - 1",SunSync,503 km, , ,13:30 desc,Presumably inactive,"MS (TH), PAN (TH)",2019-12-29 16:00:45,2019-12-29
TH-1B,528,41035,44895,"Tian Hui - 1",SunSync,498 km, , ,13:30 desc,Unclear,"MS (TH), PAN (TH)",2022-10-28 9:57:23,2022-10-28
ISS TSIS-1,529,43084,44895,"International Space Station",DRIFT,407 km, ,51.6°,,Operational,"TSIS",2021-06-14 14:32:42,2021-06-14
Meteosat-3 (ADC),531,33451,34001,"Meteosat First Generation",GEO,35786 km,50 ° W, ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:41:43,2021-03-11
Meteosat-3 (X-ADC),532,34001,35025,"Meteosat First Generation",GEO,35786 km,75 ° W, ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:42:43,2021-03-11
Meteosat-5 (IODC),533,35947,39198,"Meteosat First Generation",GEO,35786 km,63 ° E, ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:44:01,2021-03-11
Meteosat-6 (IODC),534,39199,40648,"Meteosat First Generation",GEO,35786 km,67.5 ° E, ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:44:54,2021-03-11
Meteosat-7,535,35675,39056,"Meteosat First Generation",GEO,35786 km, , ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:45:21,2021-03-11
GOES-9 (GMS backup),536,37763,38922,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,155 ° E, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 8-11), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER",2021-03-20 22:09:18,2021-03-20
GOES-10 (S-America),537,39052,40149,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,60 ° W, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 8-11), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER",2021-03-20 22:11:34,2021-03-20
GOES-12 (S-America),538,40308,41502,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,60 ° W, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 12-15), SEM/EPS, SEM/HEPAD, SEM/MAG, SOUNDER",2021-03-20 22:14:15,2021-03-20
C/NOFS,539,39554,42336,"Communication/Navigation Outage Forecasting System",DRIFT,588 km, ,13°,,Inactive,"CERTO, CINDI, CORISS, DIDM, PLP, VEFI",2016-07-22 17:36:15,2016-07-22
VRSS-1,540,41181,44530,"Venezuelan Remote Sensing Satellite",SunSync,645 km, , ,10:30 desc,Unclear,"PMC, WMC",2022-01-03 13:01:06,2022-01-03
STPSat-3,541,41598,44530,"Space Test Program Satellite",DRIFT,500 km, ,40.5°,,Unclear,"SWATS, TIM , iMESA-R",2022-01-03 13:02:55,2022-01-03
STPSat-1,542,39150,40093,"Space Test Program Satellite",DRIFT,550 km, ,37.4°,,Inactive,"CITRIS, SHIMMER",2015-07-29 12:28:41,2015-07-29
STPSat-2,543,40502,43434,"Space Test Program Satellite",DRIFT,647 km, ,72°,,Presumably inactive,"ODTML",2020-01-01 3:19:10,2020-01-01
CFOSAT,545,43402,44895,"Chinese-French Oceanography Satellite",SunSync,500 km, , ,07:00 desc,Operational,"CSCAT, SWIM",2023-01-12 9:58:46,2023-01-12
Electro-M N3,546,47087,50739,"Electro",GEO,35786 km,165.8 ° E, ,,Planned,"DCS (Electro), ERBR, GEOS&R (Electro), GGAK-E/DIR-E, GGAK-E/FM-E, GGAK-E/GALS-E, GGAK-E/ISP-2M, GGAK-E/SKIF-6, GGAK-E/VUSS-E, IRFS-GS, LM, MSU-GSM",2021-10-22 14:10:08,2021-10-22
CYGNSS (8 sats),547,42719,44895,"Cyclone Global Navigation Satellite System",DRIFT,500 km, ,35°,,Operational,"DDMI",2023-06-19 10:47:17,2023-06-19
Solar Orbiter,548,43871,47452,"Solar Orbiter",Solar,N/A km, ,25°,,Operational,"EPD, EUI, MAG (Solar Orbiter), METIS, PHI, RPW, SPICE, STIX, SWA, SoloHI",2022-10-20 13:23:40,2022-10-20
Göktürk-2,550,41261,44895,"Göktürk",SunSync,679 km, , ,10:30 asc,Operational,"EOS-C",2022-10-24 14:48:28,2022-10-24
HY-2B,555,43398,44895,"Hai Yang 2",SunSync,973 km, , ,06:00 desc,Operational,"ALT (sso), CMR, HSCAT, LRA (NASA), MWRI (HY-2)",2023-01-12 12:19:06,2023-01-12
HY-2C,556,44095,45626,"Hai Yang 2",DRIFT,1336 km, ,66°,,Operational,"ALT (high), CMR, DORIS, HSCAT, LRA (NASA)",2023-02-08 16:58:23,2023-02-08
HY-2D,557,44335,45991,"Hai Yang 2",DRIFT,973 km, ,66°,,Operational,"ALT (sso), CMR, DORIS, HSCAT, LRA (NASA)",2022-01-26 15:04:58,2022-01-26
Resurs-P2,558,41999,43383,"Resurs-P",SunSync,475 km, , ,10:30 desc,Inactive,"GSA, Geoton-L1, Nucleon, ShMSA-SR, ShMSA-VR",2022-01-12 17:36:15,2022-01-12
CLARREO-2A,559,TBD,TBD,"Climate Absolute Radiance and Refractivity Observatory",DRIFT,609 km, ,90°,,Mission concept,"GNSS-RO, IR spectrometer",2016-06-30 1:47:21,2016-06-30
CLARREO-1B,560,TBD,TBD,"Climate Absolute Radiance and Refractivity Observatory",DRIFT,609 km, ,90°,,Mission concept,"SW spectrometer",2016-06-30 1:46:43,2016-06-30
CLARREO-2B,561,TBD,TBD,"Climate Absolute Radiance and Refractivity Observatory",DRIFT,609 km, ,90°,,Mission concept,"SW spectrometer",2016-06-30 1:48:19,2016-06-30
PROBA-V,562,41401,44500,"Project for On-Board Autonomy",SunSync,820 km, , ,11:00 asc,Unclear,"EPD (PROBA-V), Végétation-P",2023-10-09 13:56:26,2023-10-09
OrbView-4,563,37155,37155,"GeoEye",SunSync,470 km, , ,10:30 desc,Lost at launch,"OHIS, OHRIS",2015-07-28 21:01:45,2015-07-28
NigeriaSat-X,564,40772,44895,"NigeriaSat",SunSync,681 km, , ,10:15 asc,Unclear,"SLIM6",2022-10-24 10:26:52,2022-10-24
DubaiSat-2,565,41599,44530,"DubaiSat",SunSync,600 km, , ,10:30 desc,Unclear,"HiRAIS",2022-01-03 13:11:24,2022-01-03
Solar-A (Yohkoh),566,33480,37240,"Solar",DRIFT,645 km, ,31.3°,,Inactive,"BCS, HXT, SXT, WBS",2015-07-29 12:02:29,2015-07-29
Coronas-I,567,34395,34530,"Complex Orbital Observations Near-Earth of Activity of the Sun",DRIFT,550 km, ,82.5°,,Inactive,"AVS, DIFOS, DIOGENESS, HELICON, IRIS (Coronas), RES-C, SKL-particles, SKL-rad, SORS, SUFR-Sp-C, TEREK-C, VUSS",2015-07-27 20:00:42,2015-07-27
Coronas-F,568,37103,38692,"Complex Orbital Observations Near-Earth of Activity of the Sun",DRIFT,550 km, ,82.5°,,Inactive,"AVS, DIFOS, DIOGENESS, HELICON, IMAP-5, IRIS (Coronas), RES-C, RESIK, RPS-1, SKL-particles, SKL-rad, SORS, SPR-N, SUFR-Sp-C, TEREK-C, VUSS",2015-07-27 19:59:35,2015-07-27
STSat-1,569,37891,38640,"Science and Technology Satellite",SunSync,690 km, , ,10:30 asc,Inactive,"FIMS, SPP-fields, SPP-particles",2015-07-29 12:31:22,2015-07-29
STSat-2,570,40050,40050,"Science and Technology Satellite",MAG,670 km, ,80°,,Lost at launch,"DREAM, LRA (KARI)",2015-07-29 12:32:15,2015-07-29
STSat-3,571,41599,44895,"Science and Technology Satellite",SunSync,700 km, , ,17:30 asc,Operational,"COMIS, MIRIS/MEOC, MIRIS/MSOC",2022-10-24 14:51:40,2022-10-24
IRIS,572,41453,44895,"Interface Region Imaging Spectrograph",SunSync,649 km, , ,06:00 asc,Operational,"IRIS (IRIS)",2022-10-24 14:53:21,2022-10-24
RHESSI,573,37292,43328,"Reuven Ramaty High Energy Solar Spectroscopic Imager",DRIFT,600 km, ,38°,,Inactive,"RHESSI",2020-02-27 19:41:17,2020-02-27
